resource_id,skill_category,framework_code,resource_type,title,url,description,source_api,date_added,citations_or_views,relevance_score,usage_count,metadata_json
1,Professional Learning and Development,5.2,paper,Using Unguided Peer Collaboration to Facilitate Early Educators'   Pedagogical Development: An Example from Physics TA Training,http://arxiv.org/abs/2510.14046v1,"Many early career educators, such as teaching assistants (TAs) in college courses, as well as pre-college educators, need help both with content and pedagogical knowledge to effectively help their students learn. One pedagogical approach that has been found effective in prior studies is collaboratio",arxiv,2025-11-04,N/A,1.0,1,"{""authors"": [""Apekshya Ghimire"", ""Chandralekha Singh""], ""published"": ""2025-10-15"", ""channel"": ""N/A"", ""duration"": ""N/A""}"
2,Professional Learning and Development,5.2,video,Collaborative Learning (Explained in 2 Minutes),https://www.youtube.com/watch?v=jXwBzbb0Huc,Read my full study guides: 1. https://helpfulprofessor.com/collaborative-learning/ 2.,youtube,2025-11-04,"22,519 views",1.0,1,"{""authors"": [], ""published"": ""2024-05-01"", ""channel"": ""Helpful Professor Explains!"", ""duration"": ""2:27""}"
3,Professional Learning and Development,5.2,article,Facilitating collaborative reflective inquiry amongst teachers: What ...,https://www.sciencedirect.com/science/article/abs/pii/S0883035520318012,"For instance, in Professional Learning Networks, groups of educators (e.g., teachers, school leaders, educational researchers etc.) are facilitated to ...",google_search,2025-11-04,N/A,1.0,1,"{""authors"": [], ""published"": ""N/A"", ""channel"": ""N/A"", ""duration"": ""N/A""}"
4,Professional Learning and Development,5.2,paper,Augmented Reality Technology in Teaching about Physics: A systematic   review of opportunities and challenges,http://arxiv.org/abs/2311.18392v1,"The use of augmented reality (AR) allows for the integration of digital information onto our perception of the physical world. In this article, we present a comprehensive review of previously published literature on the implementation of augmented reality in physics education, at the school and the ",arxiv,2025-11-04,N/A,0.99,1,"{""authors"": [""A. Vidak"", ""I. Movre \u0160api\u0107"", ""V. Me\u0161i\u0107"", ""V. Gomzi""], ""published"": ""2023-11-30"", ""channel"": ""N/A"", ""duration"": ""N/A""}"
5,Professional Learning and Development,5.2,video,The Power of Collaborative Learning,https://www.youtube.com/watch?v=8oDg_gzCN8A,Roles and rules are significant in driving purpose and integrity in any undertaking. Collaborative learning requires clear roles and ...,youtube,2025-11-04,57 views,0.9,1,"{""authors"": [], ""published"": ""2021-10-17"", ""channel"": ""Global Teachership Hub"", ""duration"": ""7:10""}"
6,Professional Learning and Development,5.2,article,Teacher Perspectives on Online Collaborative Learning: Factors ...,https://citejournal.org/volume-8/issue-1-08/general/teacher-perspectives-on-online-collaborative-learning-factors-perceived-as-facilitating-and-impeding-successful-online-group-work,... teacher education programs better design and facilitate group projects in online environments. The research questions driving this study were as follows ...,google_search,2025-11-04,N/A,0.9,1,"{""authors"": [], ""published"": ""N/A"", ""channel"": ""N/A"", ""duration"": ""N/A""}"
7,Professional Learning and Development,5.2,paper,Student Outcomes Across Collaborative Learning Environments,http://arxiv.org/abs/1808.07076v1,"The Learning Assistant (LA) model supports instructors in implementing research-based teaching practices in their own courses. In the LA model, undergraduate students are hired to help facilitate research-based collaborative-learning activities. Using the Learning About STEM Student Outcomes (LASSO)",arxiv,2025-11-04,N/A,0.88,1,"{""authors"": [""Xochhith Herrera"", ""Jayson Nissen"", ""Ben Van Dusen""], ""published"": ""2018-08-21"", ""channel"": ""N/A"", ""duration"": ""N/A""}"
8,Professional Learning and Development,5.2,video,Facilitation of Collaborative Learning in Mathematics Classroom,https://www.youtube.com/watch?v=-Xr0PVyWrQI,These videos are produced under a Development Oriented Research (DOR) grant of the AHEAD operation of the Ministry of ...,youtube,2025-11-04,"1,084 views",0.8,1,"{""authors"": [], ""published"": ""2023-03-02"", ""channel"": ""Department of Agricultural Extension"", ""duration"": ""21:45""}"
9,Professional Learning and Development,5.2,article,Robot-Supported Collaborative Learning (RSCL): Social ... - Frontiers,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2019.00148/full,Robot-Supported Collaborative Learning (RSCL): Social Robots as Teaching Assistants for Higher Education Small Group Facilitation · Introduction · Method · Results.,google_search,2025-11-04,N/A,0.8,1,"{""authors"": [], ""published"": ""N/A"", ""channel"": ""N/A"", ""duration"": ""N/A""}"
10,Custom Teaching Skill,CUSTOM,paper,"Teaching and learning physics: A model for coordinating physics   instruction, outreach, and research",http://arxiv.org/abs/physics/0505091v1,"This paper describes the development of a new university physics course designed to integrate physics, education, research, and community partnerships. The coordinated system of activities links the new course to local community efforts in pre-college education, university education, university outr",arxiv,2025-11-04,N/A,1.0,11,"{""authors"": [""N. D. Finkelstein""], ""published"": ""2005-05-12"", ""channel"": ""N/A"", ""duration"": ""N/A""}"
